recommended,overall,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,airline,traveller_type,cabin,year_flown,month_flown,aircraft_0,aircraft_1,aircraft_2,src,dst,via,verified,review_text
no,1,3,1,3,3,3,1,Emirates,Couple Leisure,Economy Class,2022,10,A380,,,CDG,DXB,,True," I flew from Paris CDG to Dubai DXB on Saturday 1 October 2016, 15.35 â€“ 00.20 with Emirates, EK 074. The flight was good, but the service is far from expected. I asked for a hot chocolate during the meal time, it took ages and I had to ask another flight attendant. When it arrived it was cold and had been filled with cold milk. I made a complaint to the purser, she apologised and they served another one. During the dessert, they served ice cream, but for myself and my wife there was no spoon. We ended up with the tea stirrer. Furthermore, I saw a flight attendant queuing for the toilets in front of me, and refusing to assist passengers. Usually, they use the toilet at the far end, in the back. I really regret picking Emirates."
yes,10,4,4,4,4,4,3,Lufthansa,Business,Economy Class,2022,10,747-400,,,Frankfurt,"Washington, D.C.",,True," Sitting onboard the spacious and iconic 747-400 is always a pleasure. Lufthansa has a modern entertainment system and the internet (17â‚¬ for 24 hours) is quite okay. On-time departure, actually we are currently ahead of schedule. Food and drinks are above average. Seat space is also above average. Friendly crew, efficient airport. I cannot complain."
yes,9,5,5,5,5,4,4,Emirates,Solo Leisure,Business Class,2022,4,777,,,Malta,Larnaca,,True," Emirates is an excellent way to fly from Malta to Larnaca. Check in opened two hours before departure, together with fast lane security an invitation to the excellent La Valletta Club lounge was given. This lounge even has an outdoor area where you can view the aircrafts landing and starting. A separate bus was provided to the aircraft where I was welcomed by the international crew. Juice was served before take-off, champagne in the air, then the menues were handed out. A three course menu was served with the possibility to choose between various alternatives. An international variety of wines and other beverages were also available. Landing on time after 2 hrs and 10 minutes. Free complimentary transfer to hotel in Larnaca. I great way to fly."
yes,8,4,4,4,4,4,4,Iberia,Couple Leisure,Premium Economy,2022,6,A340-600 , A320,,Santiago de Compostela,New York,Madrid,True," Santiago de Compostela to New York via Madrid. Flew from Santiago de Compostela on Iberia Express to Madrid yesterday to connect to our Iberia flight to New York. I can see why Iberia Express gets its 'most punctual airline' reputation. Boarding was swift, very organized and we departed about 5mins ahead of schedule. On board, sadly there wasn't much to say except the legroom was very tight and even a coffee had to be paid for. The crew seemed pleasant and helpful. I was however, not able to connect to the advertised free streaming entertainment at all. Not a huge deal breaker as it was a short flight. I had decided to take up an email offer to upgrade my next sector to New York and was so glad I did. Having priority boarding as a part of it was a huge plus on this maxed out A340-600. I loved the Premium Economy seat with the extra recline and legroom was great. It's a fresh, relatively small, more private cabin than the wild expanse of regular economy. The larger, responsive, IFE screen worked well and had just enough options to keep me occupied for 7 hours. The very slightly upgraded meal (main served in a china dish) was fairly decent thought it took quite a while after take off before it was served. There was no bar service before this. The crew were warm and pleasant though and seemed to be constantly working. We sat in row 15 which is only slightly ahead of the galley, so could hear everything and the light from the galley was distracting at times. The pre-arrival snack of a boxed sandwich was fine and we arrived only slightly late into JFK. All in all, I'd recommend Iberia's Premium Economy if you do get an email offer to upgrade. Very comfortable seat, more personalized service and priority boarding made the decision easy for me."
no,1,1,1,1,2,1,1,United Airlines,Business,First Class,2022,9,777-200,,,SFO,SYD,,,"San Francisco to Sydney with United Airlines, and stunningly horrendous service in GlobalFirst. I have traveled in economy on foreign airlines that provide better service than what this flight delivered. The seat was dirty and worn. No sleep topper was provided, nor pajamas like other airline First class provides. The pre-departure drink was served in a plastic cup! The menu had 3 entree selections for a 14 hour flight - all disgusting with heavy cream sauces to mask the inedible food. Not even a wine list was provided, in first class on a $12,000 ticket! The extremely senior cabin crew were out of shape and very uninterested in providing service, with one banging into my seat throughout the flight. Lavatory was absolutely disgusting - never once did a flight attendant attempt to keep it tidy. Breakfast was a joke - two choices and lucky to get a banana with my cereal! Juice was canned concentrate. Not even cappuccino or espresso. How does United Airlines pass this embarrassment off and justify the ticket price on such a high profile route?"
no,2,1,2,1,1,3,1,United Airlines,Couple Leisure,Premium Economy,2022,9,757,,,LHR,EWR,,,"A friend of mine arranged 2 seats for my daughter and I to travel United Airlines on a Boeing 757 from Heathrow to Newark in Economy class. Subsequently I was able to upgrade us both (for a fee) into Premium Economy. Sadly when booking this, no one mentioned that the two exit seats booked over the wing had so called ""limited recline"" - in fact no recline whatsoever. This was a very uncomfortable flight caused me to have back ache the following week. It would have been nice to have a choice of a seat that actually reclined a little for the long flight to Newark. We have been told there is no chance of any refund on the excess paid to ""upgrade"". I guess we will remember that when next we choose an airline to fly across the atlantic."
yes,10,5,5,5,5,5,5,SAS Scandinavian,Couple Leisure,Premium Economy,2022,2,A330,,,Stockholm,Hong Kong,,True, I flew from Stockholm ARN to Hong Kong HKG with SAS Airbus 330. Long haul flight in SAS Plus. The flight was comfortable in the new SAS cabin. The cabin crew was excellent and the onboard wifi and entertainment system worked very well. The aircraft was clean according to the highest standards. I definitively recommend SAS for long haul flights.
no,4,3,4,1,1,1,1,Aeromexico,Business,Business Class,2022,12,787,,,New York,MÃ©xico.,,,"Nice airplane with the worst catering you can get with a US $3,400 ticket plane, among two type of average wines without any chance to finish your meal with a nice Gin Tonic or good blend whiskey or a nice old age cognac which is standard in many other airlines. Plus, the entertainment offer is outdated, they don't rotate the movies as often as should be. You can find the same films offered in the same route from one year ago! Among a suspicious tendency for silly comedies with bad taste and low quality. When you finally arrive, the crew opens all the acces of the aircraft to exit the plane without giving to the upper paying class tickets passengers the privilege to get out in the first place, policy that makes the exit from every plane from these Aeomexico airplanes, a nightmare. The Aeromexico system at the check in (there are just two guys attending the suitcases) counters are very inefficient in contrast with the air crews that always are prone to help you an any way they can. Plain and simple: terrible Business class experience."
yes,7,3,4,3,4,4,5,KLM Royal Dutch Airlines,Family Leisure,Business Class,2022,7,777-200ER,,,BOG,TXL,AMS,,"BOG-AMS-TXL return, flights on-time. Although KLM Business class cabin was refurbished, the 13-year old aircrafts looked old and tired. Reasonable lie-flat seating but not up to other airlines' standard. Very nice, friendly crew, the captain took time to chat with the passengers. Mediocre catering and wine offer, including an awful Brazilian red. Snacks on return very poor. As they are launching their flight to BOG and CLO, KLM are offering both Dutch and Colombian typical fare almost unedible. Nice amenity kits, good IFE and duty free sales. Smooth connections at AMS, despite our luggage being delayed for one day in the outbound leg, due to our short connection. Will fly KLM again if they provide reasonable Business class fares as it happened this time."
yes,5,3,5,2,2,3,3,Finnair,Business,Premium Economy,2022,7,A330-300 , A321,,New York JFK,Chania,Helsinki,True," New York JFK to Chania via Helsinki. First time on Finnair. Clean, spacious cabin in light blue, grey colors. Flight attendants looked smart in black outfits with trimmings. Had an economy class ticket but was seated in premium economy. Plane was uncrowded and all immediate seats around me were empty. On time departure and arrival at Helsinki was early. Very limited movie selection on personal IFE. Food was very basic. Meat balls for dinner and a cold jaw breaking sandwich for breakfast. Flight attendants courteous. Some distinctive Finnish items on the duty free offerings. An amenity kit was provided. Flight from Helsinki to Chania was packed with holiday goers. Complimentary soft drinks only. A drop down TV screen showed the flight route. Again, on time arrival. All in all, an efficient, unremarkable flight."
no,1,2,4,1,1,1,1,British Airways,Business,Business Class,2017,1,747-400,,,London Heathrow,Miami,,True," London Heathrow to Miami. I was looking forward to this flight - it was Saturday so no work the following day and 62K on the upper deck used to be such a treat! I have read many reviews recently of BA falling behind the competition so my expectations were low - but even these were beaten by this overall truly awful experience. Firstly I have to say the crew on the flight were super in every way. Nothing was too much trouble and they seemed to genuinely be enjoying their work. I should have given my 'BA Golden Ticket' to one of them but forgot. However no matter how good the crew, it cannot make up for everything else being totally awful and shabby. The seat was filthy with what looked like ketchup from the previous flight and crumbs everywhere. Not a nice start. The aircraft was very very old - a lot of the interior was patched up with white gum. The IFE didn't work properly. Amenity kit was a bag and the headsets poor quality. The toilets (compared to AA) were small unpleasant. Seat is not up to most Business class standard. Food was awful and the 'club kitchen' almost non-existent. These days I would choose AA (or Delta, United, Virgin) any day over BA. It was a shame the flight manager seemed to spend his time going round the cabin apologising and giving some avios to try and make people less annoyed by the whole experience."
no,1,1,1,1,1,1,1,Air India,Couple Leisure,Economy Class,2022,1,777,,,BOM,JFK,DEL,,"Mumbai to New York JFK via Delhi on Air India. Broken seating, entertainment consoles that don't work, dirt, lost baggage, unannounced stop-overs, overstuffed overhead baggage compartments, unhelpful staff. This airline used to be top-notch back in the 70's, but is now little more than cattle-truck service. I am embarrassed by this national carrier and will never use Air India again."
no,4,4,2,4,3,3,4,Thai Airways,Family Leisure,Economy Class,2022,12,777-300 , A350-900,,Kuala Lumpur,Osaka,Bangkok,True," Kuala Lumpur to Osaka via Bangkok. The flight from KL to Bangkok was fantastic and crew were so friendly and smiling. Can feel their passion in serving the customer. Though it was a 2-hour flight, they managed to serve everything smoothly until landing. Second sector was from Bangkok to Osaka. Crew were like robot. Not even ask the passengers about their choice of meal and directly give passengers whatever the meal they are holding. Crew were not seen serving drinks during the mid of the flight. No warm towel prior to take off and landing. Inflight entertainment was passable. Seat is comfort. Third sector was from Osaka to Bangkok. Some crew were very rude. Rushing for the meal and expecting the passengers to finish it quickly. Even heard a enior crew raised her voice to at least three passengers, ""Finish? Bring this go there (finger point to the back galley) I won't come back again, understand!"" The flight was six-hour long and why don't give some time for the passengers to enjoy their meals slowly. No beverage serving / crew going round the cabin with drinks in the mid of the flight. Crew takes long time to answer call bell. The same goes to the last sector. Rushing to do their service and very impatient. Few times I observed the crew can't wait to push away the cart perhaps the passengers were still thinking of what the crew were saying or couldn't listen to it clearly. For money wise, yes it's cheaper than some other airlines. In terms of inflight entertainment, it's not as interesting as SQ, EK or CX. Lavatory doesn't provide any toiletries, only a bottle of cologne."
yes,10,5,5,5,5,4,5,Ethiopian Airlines,Business,Business Class,2022,1,787,,,Mombasa,Kuala Lumpur,Addis Ababa,True," Mombasa to Kuala Lumpur via Addis Ababa. Ethiopian performed well again, check in slow at origin, some hassle over stopover in ADD but resolved in the end, smooth flight to ADD, special passport line in ADD, check in for next flight in ADD very convenient, lounge adequate, special boarding zone and boarding bus for business class passengers, smooth flight, on time arrival, transit in Singapore nuisance again, all transit passengers get off and be security checked again. Baggage arrived in KUL as priority."
yes,10,5,5,5,5,1,5,China Eastern Airlines,Couple Leisure,First Class,2022,6,777,,,PEK,ORD,PVG,True," Beijing to Chicago via Shanghai. I was very sceptical about flying this airline after reading reviews from different websites, but we had a wonderful experience. We were upgraded to 1st from Business as our PEK-PVG flight was late arriving in PVG because of bad weather. The flight attendants were outstanding and very polite and professional. The food was top shelf and the entertainment was equal to other airlines."
yes,9,4,4,5,5,4,5,Garuda Indonesia,Solo Leisure,Economy Class,2022,8,737-800,,,CGK,BPN,,True," Flight 570, Jakarta-Balikpapan, Economy Class with Garuda Indonesia. B737-800 SkyInterior registered PK-GNG. I came relatively early at 7.20 am to the new terminal of Garuda in Jakarta - Soekarno Hatta, the Terminal 3 Ultimate. They let me check in early even though there was no gate available for my flight. Boarding was delayed 15 minutes due to landing congestion. Inflight I ordered chicken fried rice, as expected it was very edible and delicious, and it was coupled with friendly Flight Attendants as expected. IFE, working properly although due to the flight time (1.40 hours) I was unable to watch the movie I choose until the end. I can't rate the Wi-Fi because 737s aren't equipped with it."
no,1,1,1,1,1,1,1,Air Canada,Business,Economy Class,2022,7,A321,,,Vancouver,Toronto,,,"Toronto to Vancouver and back. Outbound I had a broken USB in first seat outbound, then broken headphone jack on second. 2 meter trim strip falling off and into aisle. Climate control failure onboard had passengers sweating profusely. Return flight, suddenly my carryon, which had flow with me all over Canada for 3.5 weeks (I was covering the Women's World Cup) is too large or too heavy, though it is max carry on size on other airlines I've flown. Wouldn't let us board. After 30 minutes and showing them the photographic gear they wanted me to put below (they would not guarantee it's safety,) they finally accepted my idea to put my camera bag in the crew area. Onboard, they ran out of food. Flight attendants left our consumed flood on our trays for 1.5 hours. When I rang call button to ask them to pick up the tray, I was chastised and told to set it on the floor. The attendant who came to me couldn't take it away, she told to me to set it on the floor in the exit row."
yes,10,4,5,5,5,5,5,Lufthansa,Solo Leisure,Premium Economy,2022,12,A340 , 747-8,,LAD,EZE,FRA,,"Luanda to Buenos Aires via Frankfurt. I use Lufthansa quite often and I have never been disappointed. Flights are on time, the attendants are friendly and the meals are very good. The entertainment system is excellent and easy to use. For this flight I used the Senator lounge in Frankfurt for flights to South America and it is superb with direct boarding to the plane. As a Star Alliance Gold Card member, Lufthansa has occasionally upgraded me, so they have my loyalty! I think it is a great airline."
yes,9,5,5,5,4,4,5,Emirates,Solo Leisure,Business Class,2015,1,777-300ER,,,BOM,DXB,,,"It was my first time on Emirates Business Class and the experience was really good. The cabin crew were quite friendly and made me feel comfortable. The seat was good with numerous features and was surprised to see the big collection of movies. The meal was pleasing - I had pre-ordered a seafood platter, the dessert was good .The fast track security check coupons were useful at the airport."
no,3,2,2,3,2,1,2,Turkish Airlines,Solo Leisure,Economy Class,2022,1,777,,,Toronto,Istanbul,,True," Toronto to Istanbul. I have recently flown via Turkish Airlines and it was not pleasant experience compare to previous years. I could only say that this North America flight has gone downhill in last few years. The plane seemed aged, seats were not comfy, narrow for 10 hours flight. It could be my luck getting an older plane, and it could be different with newer planes for the same route. Check-in to the flight was a complete mess. Instead of calling with zones or Tier everyone invited to open counters, and it caused huge line ups and mess in the plane. Cabin staff was nice, courteous but not helpful. They lied about foods to people especially who were not a native speaker of Turkish. They passed, drinks and food items over passengers heads to their colleague if they were out on their carts. I felt extremely warm in my seat. Complained about it and the answer was this is the coldest they can get at this altitude for maximum air quality in the cabin. The final part is that 2 of my luggage get lost on this flight, Turkish Airlines cannot locate my luggage, and each representative over the phone tells different location. We are now getting into 72 hours, but no one knows where my luggage is."
no,2,5,1,3,5,2,4,Aeromexico,Business,Business Class,2017,1,787-9,,,Mexico City,Paris CDG,,True," Mexico City to Paris CDG. The Boeing 787-9 is lovely, a solo window seat in business class. Nice amenity kit. Pillow ok (a bit small) and nice comforter. The video screen was large and the IFE selection was excellent. Food was disappointing - bland and overcooked. Wine and champagne selection was good. International airport lounge in Mexico City closed early at 10pm and they had us move to a very crowded domestic lounge farther away from the gates. The second lounge was dirty, wines were not re-stocked and food was sparse. It was a mess. The cabin staff was the rudest I have ever experienced in business class on any airline. Bare minimum. Rarely came through the cabin. I was not served at dinner, asked for a meal and a drink after waiting over an hour and was treated very rudely. It is a pity that this airline, which has obviously invested heavily in nice equipment, has such lousy service staff - both on the ground and in the air. They need to fix it. I would avoid them."
yes,8,4,4,4,4,4,4,Cathay Pacific Airways,Business,Business Class,2022,4,777-300ER,,,MNL,ORD,HKG,True," Manila to Chicago via Hong Kong. Check in and security at MNL was quick, considering the outbound flight was at 0500. After a quick stop to the lounge, it was a bit of a walk to gate 111 where there was quite a crowd boarding but the business lane was pretty quick getting onboard. Regional configuration in the MNL-HKG leg with good and warm service. Food was passable and forgettable, as can be expected by CX catering. After a 3 hour transit, the long HKG-ORD leg for a quick business trip to Chicago. Previously flew the A359 and the business seats on the 773 was a bit of a letdown compared to the fantastic newer product (it's a shame if the rumors are true that CX will change the business seats of the 359). Nonetheless, the reverse herringbone layout allows for great privacy and the seat provides numerous storage options for large and small items. Catering was better than the first leg with very responsive service and very unobtrusive for those who want to sleep. Special mention to the chief purser who made the service a joy. IFE was a bit of a letdown as well, but I suppose it was just that the selection of movies, while extensive, did not contain those that appealed to me. On the return leg, the company messed up the connecting day which was resolved very quickly on the ground in ORD. In-flight service to HKG and MNL was more robotic and less warm. They have a good business product, but for an Asian airline, I think it could up its game a little bit to play with the other big boys in the region (Singapore, ANA, Asiana)."
yes,10,5,5,5,5,3,5,Qatar Airways,Couple Leisure,Business Class,2022,3,B777-300ER,,,Phuket,Doha,,True," Phuket to Doha. It was a pleasant flight, upgraded to business class, the airline do not provide lounge access and fast track for upgrades. The flight itself was ok, with flat bed to sleep, sophisticated meal prepared by class chefs - a nice surprise. Large screen with new releases for entertainment. Cabin crew was polite and friendly, helpful during the flight, which was on time."
no,1,1,3,2,1,1,2,Ryanair,Couple Leisure,Economy Class,2022,1,737-800,,,Oslo,London Stansted,,True," Flew from Oslo to London Stansted. Worst airlines ever! We have to buy Priority boarding to have cabin baggage with us and still had to wait in a long queue. All people were buying Priority and the cabin was full of luggage! Ryanair have just found out how to make money from it. Also, the seats! Me and my husband were sitting on different sides of the plane, both alone in the rows! This is a joke. If we want to sit together - pay more money again! Moreover, the flight was delayed for an hour and we were stuck inside the plane. I will never fly with Ryanair again!"
no,5,1,4,3,2,2,2,TAP Portugal,Solo Leisure,Economy Class,2022,2,A330,,,Newark,Marrakech,Lisbon,True," Newark to Marrakech via Lisbon. Kinda a nightmare with this airline. First off, they cancelled my original flight home. So, I had to spend an extra night in Lisbon, which was actually a little fun. I got to walk around Lisbon, and I had a great dinner. TAP covered the hotel bill and it was okay. With that said, they promised to cover us for dinner, which never happened, but breakfast was included. They also provided transport. As for the flights, they could have been better. Food was so so, but you could get free beer or wine. Seats were uncomfortable. Also, beware of paying extra for seats. They switched airplanes on my flight to Lisbon, and didn't bother to switch my seat to the emergency row-even thought I paid 65 Euro for it. In the end, I got an emergency row seat, but not the one I wanted and paid for. On the way back to America, I got the proper emergency row seat, but the in-flight entertainment didn't work for me, despite several attempts to reset it. With this all in mind, the flights did fly on time, and my flight back to the US was early, which helped with my connection. All things considered, I would not fly this airline again if I can help it. Too much trouble, and I was one of the lucky ones. I was part of a tour of Morocco where everyone flew TAP, and many people were out hundreds of dollars with the one-day delayed flight. I was lucky because I procrastinated about buying my flights to Newark and back Minnesot. Others bought their flights to Newark early, and they were out of luck."
no,5,2,5,1,1,5,3,Cathay Pacific Airways,Business,Economy Class,2022,4,A330-300,,,HKG,TPE,,,"Hong Kong to Taipei return. Outbound an old plane, some sort of padding added to the seat and to the seat belt for comfort (without much success), narrow seats, incorrect safety card ie. A340 for an A330 . Food was atrocious : some ""lattice"" chicken wrap that tasted like paper filled with some red stuff but without chicken. Cold tea only drink option. Friendly staff. Way back with no IFE, modern A330, with normal seats, the same revolting food. Excellent crew. Both flights constant pushing by crew to buy duty free. I have lived in HK for one year now and the locals rave about Cathay Pacific. Beyond their obsession with air miles, I scratch my head why. I don't know why this is work's preferred carrier. Any low cost airline can fare equally."
yes,7,4,2,3,4,3,4,Turkish Airlines,Couple Leisure,Business Class,2022,8,777-300,,,Buenos Aires,Barcelona,Istanbul,True," Buenos Aires to Barcelona via Istanbul. Seats are ok, but not the best. The good thing is that they are fully flat, the bad thing is that they do not all offer direct aisle access (and that there are 3 seats together in the middle row in business class). That said, I also have to say that the Buenos Aires - Istanbul flight is very long because of the stop in Sao Paulo, but flying business class in TK makes it seem shorter, the IFE is quite good and the food is great. I take this flight twice a year and even though the food service deteriorated a bit lately, it is still very good compared to other airlines (unfortunately on my last flights there was no more amuse bouche, no more many options of starters to pick from the trolley and no more final trolley with coffee and petit fours-the latter was now consolidated with the dessert trolley, also the champagne on board was downgraded from Taittinger to Mumm). As I said the meals service is still good but it could be a lot better if flight attendants would be more proactive at offering drinks and refills. They just do not do it, you need to call them every time you need a refill (it does not happen in many other airlines) and when you do they take forever and it is obvious are not willing to do it. Overall, I would recommend TK business class because the food is very good and the seats are confortable, but they need to improve the service on board. If they did, they would be quite perfect."
yes,5,4,4,4,4,4,5,Air China,Business,Economy Class,2022,9,A321,,,PEK,XIY,,True," I usually fly with Air Chinaï¼Œbut there is no vacant seat in business classï¼Œso I have to choose economy class seat. Howeverï¼Œthe crew in economy class provide better service than I expected. I told one of the crew that I am a vegetarianï¼Œunfortunatelyï¼ŒI forgot to reserve a meal for myself, and I was surprised that the crew got me a special meal with vegetable and egg during the meal-service time. I really appreciated."
yes,9,5,4,4,5,5,5,Cathay Pacific Airways,Family Leisure,Economy Class,2018,1,777-300ER,,,Melbourne,Hong Kong,,True," Melbourne to Hong Kong. Very efficient ground service. Unexpectedly they also had Chinese speaking ground staff in Australian airport. Seats were great as they used to be with a wide range of movie selection on plane. Food was average but they still provided wide range of drinks and wine. The time arrived Hong Kong on time and the luggage was already well ready when we reach the luggage belt. Very pleased with the overall experience. Last but not least, the fare was really reasonable during low season."
no,1,1,2,2,1,2,1,Air Canada rouge,Couple Leisure,Economy Class,2022,1,763,,,Lima,Montreal,,True," Lima to Montreal. It is immoral of Air Canada to use this such an airplane for a long night flight over 8 hours. We were extremely uncomfortable, there was no entertainment and little service. The staff tells you to download the Air Canada Rouge application once on the plane when, if you are not from the country, likely you have no connection to download anything."
yes,6,5,2,3,4,3,5,Cathay Pacific Airways,Couple Leisure,Economy Class,2022,3,A350 , A330,,Denpasar,Gatwick,Hong Kong,True," Denpasar to Gatwick via Hong Kong With Emerald status check- in was speedy and efficient. The lounge Cathay use in DPS was abysmal, felt more like a foot massage salon, very poor.The seats on the A330 are far inferior to those on the the A350, I was lucky enough to change the seats to an exit. Crew on my side of the aisle were courteous, once again acknowledging my Emerald status, however on my friends side the attendant basically barked at her, and at Cathay they have a trend of screaming â€˜mind your kneesâ€™ as they pull the cart up the aisle seemed very unprofessional. The Pier lounge at Hong Kong was outstanding. No Emerald recognition on the LGW sector, crew seemed very new and unsure of their role, I think Cathayâ€™s more â€˜Senior crewâ€™ work in the premium cabins. I really donâ€™t understand after 4 long sectors how this airline has reached 5 star status, it really is let down by poor inflight service. I would only recommend for the price paid for the ticket and the lounges in HKG."
no,3,4,1,1,5,3,2,Etihad Airways,Family Leisure,Economy Class,2022,8,A321 , A380,,Cochin,London,Abu Dhabi,True," Cochin to London via Abu Dhabi. Service on a decline. One the first leg to Abu Dhabi we were served by an uncaring lady. She was robotic, no smile, no courtesy, nothing. The choice of meal had ran out on a flight that was not even full. On the second leg of the journey, the meal served was awful. Rice and lamb served was inedible as it was very salty, the salad tasted stale. Traveling with a child I thought Etihad might provide a toy / colouring book to keeping them engaged for sometime, nothing was provided. Booking for a family of 6, I had choices when I booked with Etihad. My past experience was good which swayed my decision, even though at the time of booking the competitors had slightly lower rates. From now on Etihad will be my last choice."
no,4,4,2,3,5,3,4,Korean Air,Solo Leisure,Economy Class,2022,12,A330-300,,,Bali Denpasar,Seoul Incheon,,True," Bali Denpasar to Seoul Incheon. Check-in was fast and easy by Korean's contracted ground handlers in Denpasar. The flight boarded and pushed back on-time. While the flight overall was fairly comfortable (good seat pitch, good seat-back inflight entertainment, pillow & blanket provided), Korean's cabin crew are very cold and without any personality. They are very robotic in everything they do. The cabin crew was very unfriendly and disingenuous while attending to the passengers - forced, half-smiles when serving the meal and drink service (the breakfast served - was soggy and virtually inedible). This is such a shame because they are dressed to impress and fly onboard such nice airplanes. If only they provided warm, caring hospitality, they would truly be an outstanding airline. Until then, I would not fly on them again by choice."
no,1,2,2,2,2,1,1,Etihad Airways,Business,Business Class,2022,10,A380,,,SYD,LHR,AUH,True," Sydney to London via Abu Dhabi. As a business class passenger I feel I have been let down by Etihad and not received the service which I paid handsomely for. When it comes to lost luggage they simply do not care, and follow procedure. October 21st 2016 Update: Business Class Passenger delayed 25 hours - no apology and no compensation My flight was cancelled due to a technical problem. I arrived at my destination (London) 25 hours late. I am still waiting 8 days later for an apology and compensation. I feel this is unacceptable. Similar opinion? Write a review!"
no,1,1,1,1,1,1,1,flydubai,Business,Business Class,2022,12,737-800,,,PRG,DXB,,True," Business journey from Prague to Dubai return flight FZ 780 flydubai. Departure at 13:20 pm from Prague. Business priority class. Everything went wrong from the moment we have arrived to the airport to check-in. flydubai supervisor let us check in without a word about any problem. But I could hear something about late taking off to another customer who wanted to go to passport control. I had to go to her and ask her directly, if the information of flight delay is correct. She said: Yes, approximately 4 hours of being delayed. I went to her again and ask her if it is true, because we are having a meeting in Dubai, hotel confirmed and we are going to see the New YearÂ´s fireworks. She answered: It is your problem. You must be comming earlier. When it was 17:30 pm, there was a sign on departure schedule board: Dubai FZ780: departure 23:00. No one came to us, no info what is happening etc. After my asking to airport staff I was answered that there is a thick fog at DXB airport (but plane is from 15:30 at Prague airport). FlyDubai supervisor wasnÂ´t at her office and no one could reach her. No official info from flydubai representative. It was a really poor apology and answer about the fog. Turkish airlines, Emirates with the big airbus, SwissAir, SmartWings and many other flights from PRG to DXB were departing and the flights from DXB were landing in PRG. But only FlyDubai customers were sitting on the floor in a hall and waiting hours for new information. I have checked the weather radar at DXB airport from my notebook and the visibility was from 8km to 10km. After another complaining, I got the phone number to flydubai representative help line. No answer, just automatic speech (Thank you for your calling to flydubai, for communication in english press 1 and my call was automaticly cancelled). Help line didnÂ´t help at all. Finally at 22:00 a new schedule of Dubai departure showed PRG to DXB FZ780 FlyDubai: 1:00 am 1st January 2017. I was so upset and annoyed. I realized that my business, hotel reservation and New YearÂ´s firework are totally buried. I wanted my money back and wanted to cancel the journey. When I reached the flydubai representative, I was told that no cancellation is available due to weather conditions. I asked the captain with his crew who were just passing us and arrived to PRG from Africa with stop on DXB and continuing to PRG and he told us, that it is nice and sunny in DXB without any problems. The representative of flydubai told us after this, that pilots need to have a rest and will not fly. After protests of other passangers, they gave us 10 dollars ticket for refreshment, but in Duty free zone there was everything closed because of the New YearÂ´s Eve. At midnight a member of airport came to business lounge and said: The lounge closes normally at 19:00 and it is 24:00 now. Go to the counters down to the hall to the others. Small kids, infants, old people, no matter. At 1:00am next day departure schedule board shows FlyDubai FZ780 to DXB planned departure 7:00 morning. Flight delayed 18 hrs in total, no hotel (they said none available), no refreshment, no help, no info, no more flydubai."
yes,10,5,5,4,5,5,5,China Southern Airlines,Solo Leisure,First Class,2022,10,787,,,CAN,LHR,,True," Guangzhou to London, and I paid for inflight upgrade from Economy to First Class since there are empty seats. Due to the inflight upgrade agreement that the food will be equivalent to economy class. But the crew were very generous to give me extra snacks and fruits. In my opinion, it is the service that determines a person that would like to choose the airline again or not. I'd like to thank all the crew in CZ303 on 5th October, 2016 for making my journey a pleasant one."
no,1,1,1,1,2,4,1,British Airways,Couple Leisure,Economy Class,2022,11,747-400,,,LHR,CPT,,,"London Heathrow to Cape Town with British Airways. Paid extra to book 2 particular seats. Both were broken. I had to sit upright for 11+hours and my husband had to sit partially reclined to eat his meals. I had veggie meal which was served half hour before everyone else - no drink until everyone else served. Choice of meal for husband was chicken curry or chicken curry. He doesn't like curry so it was whispered to him that he could have a veggie meal. Same at breakfast - served half hour early so had to eat alone. When other breakfasts came out, guess what no meat. On complaining to BA Customer Services, told could choose another meal if we had gone on line and paid extra. Been offered the insulting and derisory compensation of Â£20 off our next flight (as if there will be a next flight) - not even offered a refund of payment we made for booking broken seat. Both airline and customer service disgraceful."
no,5,3,3,2,5,4,2,Cathay Pacific Airways,Solo Leisure,Business Class,2022,6,777-300ER,,,HKG,CDG,,,"Recently flew 2 legs in business, first from Hong Kong to Paris in a 4 class cabin and return from Madrid to Hong Kong in 3 class cabin with Cathay Pacific. I must say I was pretty underwhelmed. First leg was a overnight flight and sitting in seat 20k in 4 class configuration it was impossible to sleep due to the constant vibration of the engine with the seat being directly above the wing. Return journey was in seat 16k in 3 class configuration and was much quieter. Food was pretty poor standard on both legs for business class, not worth the premium paid. Also on the return flight I requested a burger from the order as you wish range, however half way through the 12 hour flight the cabin staff were already out of them. I then requested the won ton soup noodle, this also unavailable. The flight attendant offered me a bowl of noodles with, in her words is ""a powdered chicken stock"". I will say the lounges in Hong Kong are superb."
